r1,r2,r3,r4,r5,r6,r7,shape
7.99,14.099999999999998,16.689999999999998,17.7,15.15,8.41,19.97,Oval
8.559999999999999,14.719999999999999,17.21,18.310000000000002,15.82,5.7299999999999995,19.650000000000002,Pear
8.32,14.05,16.34,16.96,16.009999999999998,7.7299999999999995,20.59,Oval
7.6499999999999995,13.74,16.71,17.66,15.9,7.870000000000001,20.48,Triangle
8.43,14.799999999999999,17.31,18.33,14.430000000000001,7.23,19.470000000000002,Round
8.21,14.280000000000001,16.919999999999998,17.93,15.770000000000001,6.52,20.380000000000003,Oval
7.99,14.14,16.939999999999998,18.240000000000002,15.920000000000002,6.35,20.43,Oblong
8.34,14.39,16.900000000000002,17.630000000000003,15.709999999999999,6.93,20.09,Oval
8.110000000000001,13.850000000000001,16.53,17.71,16.93,6.0,20.86,Diamond
8.14,14.099999999999998,16.78,17.580000000000002,15.67,7.51,20.200000000000003,Square
8.06,14.09,16.81,18.060000000000002,15.260000000000002,7.57,20.150000000000002,Triangle
8.58,15.040000000000001,17.05,17.93,15.629999999999999,6.52,19.25,Round
8.290000000000001,14.37,17.0,18.05,15.440000000000001,6.84,20.02,Square
8.290000000000001,14.37,17.0,18.05,15.440000000000001,6.84,20.02,Square
8.73,14.85,16.99,17.45,15.45,6.58,19.96,Pear
8.15,14.56,17.31,18.32,15.57,6.12,19.96,Square
8.6,14.74,16.89,17.91,15.110000000000001,7.1,19.64,Round
8.15,14.330000000000002,17.080000000000002,17.740000000000002,16.1,6.03,20.580000000000002,Pear
8.129999999999999,14.26,16.830000000000002,17.61,15.58,7.3,20.29,Oval
8.290000000000001,14.829999999999998,17.31,18.18,14.95,7.21,19.220000000000002,Square
7.969999999999999,14.399999999999999,16.91,17.95,15.64,6.859999999999999,20.27,Pear
8.42,14.84,17.27,18.32,15.659999999999998,5.779999999999999,19.7,Round
8.129999999999999,14.29,16.580000000000002,17.419999999999998,15.72,7.57,20.3,Oval
8.14,14.030000000000001,16.56,17.87,15.870000000000001,7.109999999999999,20.41,Diamond
8.25,14.649999999999999,17.44,18.26,14.790000000000001,6.99,19.62,Round
8.540000000000001,14.27,16.5,17.28,16.93,5.81,20.68,Oblong
8.219999999999999,14.000000000000002,16.11,17.01,15.89,8.25,20.52,Oblong
8.37,14.46,16.91,18.01,15.040000000000001,7.42,19.79,Oval
8.12,14.66,17.580000000000002,18.64,15.06,6.239999999999999,19.7,Square
8.44,14.99,17.150000000000002,17.41,16.37,5.489999999999999,20.150000000000002,Pear
8.38,14.64,17.02,17.64,16.56,5.64,20.1,Oval
8.42,14.45,16.71,17.68,14.97,7.6899999999999995,20.07,Square
8.450000000000001,14.729999999999999,17.330000000000002,17.98,15.93,5.7700000000000005,19.82,Pear
7.8100000000000005,14.180000000000001,16.96,17.9,15.5,7.59,20.06,Oval
8.35,14.37,16.7,17.330000000000002,16.11,6.710000000000001,20.43,Round
8.09,14.04,16.619999999999997,17.59,16.33,6.63,20.69,Oblong
8.1,14.219999999999999,16.88,17.83,16.009999999999998,6.65,20.330000000000002,Round
8.25,14.02,16.2,17.130000000000003,15.67,8.559999999999999,20.169999999999998,Oblong
8.290000000000001,14.08,16.470000000000002,17.150000000000002,15.620000000000001,7.89,20.51,Diamond
7.93,14.39,17.380000000000003,18.099999999999998,16.03,6.36,19.81,Oblong
8.51,14.879999999999999,17.16,17.740000000000002,15.43,6.68,19.6,Square
8.33,14.32,17.01,18.3,16.17,5.6899999999999995,20.18,Square
8.35,14.46,16.830000000000002,17.84,16.05,6.140000000000001,20.330000000000002,Square
8.27,14.399999999999999,16.85,18.07,15.06,7.430000000000001,19.919999999999998,Triangle
8.42,14.84,17.34,18.14,15.21,6.7299999999999995,19.33,Round
7.9799999999999995,13.900000000000002,16.669999999999998,17.48,15.740000000000002,7.6899999999999995,20.54,Diamond
8.37,14.59,17.169999999999998,18.029999999999998,15.049999999999999,7.07,19.72,Oval
8.260000000000002,14.680000000000001,17.11,17.8,15.97,6.11,20.06,Oval
8.27,14.92,17.28,18.14,15.809999999999999,5.79,19.81,Round
8.32,14.42,17.04,17.66,15.190000000000001,7.23,20.150000000000002,Triangle
8.32,14.17,16.77,17.810000000000002,15.939999999999998,6.65,20.34,Round
8.19,14.39,17.2,18.13,15.840000000000002,6.15,20.1,Triangle
8.21,13.750000000000002,16.24,17.26,16.06,7.7,20.78,Triangle
8.02,14.48,17.119999999999997,18.029999999999998,14.760000000000002,7.739999999999999,19.85,Round
8.07,13.850000000000001,16.23,17.05,16.220000000000002,7.960000000000001,20.62,Square
8.23,13.930000000000001,16.14,16.98,16.09,7.76,20.87,Oblong
8.25,14.19,16.28,16.86,15.49,8.200000000000001,20.72,Square
8.53,14.979999999999999,17.52,18.09,15.950000000000001,5.4,19.54,Round
8.67,14.580000000000002,16.85,17.44,16.04,6.0600000000000005,20.36,Oval
8.129999999999999,13.969999999999999,16.6,17.62,15.939999999999998,7.380000000000001,20.36,Diamond
8.36,14.77,17.36,18.34,15.870000000000001,5.55,19.75,Pear
8.200000000000001,13.99,16.5,17.37,16.43,6.74,20.77,Triangle
8.35,14.7,17.130000000000003,18.13,15.24,7.13,19.32,Oval
8.110000000000001,14.44,17.11,18.2,15.57,6.619999999999999,19.939999999999998,Square
7.9,13.469999999999999,16.13,17.02,16.5,7.55,21.42,Oblong
8.67,14.42,16.54,17.599999999999998,16.03,6.72,20.02,Oval
7.960000000000001,14.249999999999998,16.93,17.94,15.7,6.79,20.419999999999998,Oval
8.28,14.330000000000002,16.77,17.73,14.530000000000001,8.32,20.03,Square
7.9399999999999995,14.399999999999999,17.080000000000002,18.12,16.06,6.32,20.080000000000002,Square
7.920000000000001,13.81,16.71,17.95,16.39,6.4,20.810000000000002,Oblong
7.68,13.469999999999999,16.27,17.119999999999997,16.16,8.04,21.26,Diamond
7.93,14.14,16.669999999999998,17.48,15.57,7.64,20.560000000000002,Oval
7.99,14.17,16.99,18.22,15.6,6.7,20.330000000000002,Triangle
8.36,14.57,16.93,17.9,14.940000000000001,7.76,19.54,Oval
7.920000000000001,13.819999999999999,16.25,17.07,16.14,7.88,20.919999999999998,Diamond
8.09,13.94,16.36,17.16,16.29,7.22,20.93,Pear
8.14,14.360000000000001,17.06,17.849999999999998,16.400000000000002,5.800000000000001,20.380000000000003,Triangle
8.39,14.62,16.88,17.630000000000003,15.290000000000001,7.57,19.62,Round
8.32,14.74,17.119999999999997,17.95,14.580000000000002,7.6499999999999995,19.64,Square
8.72,15.07,17.31,18.310000000000002,15.24,6.29,19.07,Square
7.8,13.96,16.6,17.48,15.02,8.559999999999999,20.560000000000002,Diamond
8.41,14.360000000000001,16.619999999999997,17.79,15.509999999999998,7.19,20.11,Square
8.3,14.59,17.080000000000002,18.15,15.509999999999998,6.38,19.98,Triangle
8.4,14.71,17.0,17.86,15.809999999999999,6.3100000000000005,19.919999999999998,Square
8.18,14.469999999999999,16.96,17.48,15.879999999999999,6.74,20.29,Pear
